data_date,source_url,table_idx,table_section,row,col,header_top,header_left,value
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,0,,0,0,,,일일경제지표 (22. 3. 18. 금) 17:30 현재
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,0,0,,,
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,0,1,,,’20 말
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,0,2,,,’21 말
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,0,3,,,’22.2 말
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,0,4,,,3/16
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,0,5,,,3/17
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,0,6,,,3/18
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,0,7,,,전일비
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,0,8,,,21말비
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,1,0,,,콜금리 (1일)
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,1,1,’20 말,콜금리 (1일),0.57
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,1,2,’21 말,콜금리 (1일),1.11
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,1,3,’22.2 말,콜금리 (1일),1.28
2022-03-18,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000058870&menuNo=6010200,1,금리,1,4,3/16,콜금리 (1일),1.24
