data_date,source_url,table_idx,table_section,row,col,header_top,header_left,value
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,0,,0,0,,,일일경제지표 (19. 1. 15 화) 17:30 현재
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,1,,0,0,,,KOSPI 지수(1.58%상승) 달러 환율(0.20%하락)
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,0,0,,,
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,0,1,,,‘16 말
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,0,2,,,‘17 말
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,0,3,,,‘18.12 말
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,0,4,,,1.11
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,0,5,,,1.14
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,0,6,,,1.15
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,0,7,,,전일비
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,0,8,,,‘18 말비
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,1,0,,,콜금리 (1일)
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,1,1,‘16 말,콜금리 (1일),1.24
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,1,2,‘17 말,콜금리 (1일),1.55
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,1,3,‘18.12 말,콜금리 (1일),1.82
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,1,4,1.11,콜금리 (1일),1.73
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,1,5,1.14,콜금리 (1일),1.75
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,1,6,1.15,콜금리 (1일),1.73
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,1,7,전일비,콜금리 (1일),△0.02
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,1,8,‘18 말비,콜금리 (1일),△0.09
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,2,0,,,CD (91 일)
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,2,1,‘16 말,CD (91 일),1.52
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,2,2,‘17 말,CD (91 일),1.66
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,2,3,‘18.12 말,CD (91 일),1.93
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,2,4,1.11,CD (91 일),1.86
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,2,5,1.14,CD (91 일),1.86
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,2,6,1.15,CD (91 일),1.86
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,2,7,전일비,CD (91 일),0
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,2,8,‘18 말비,CD (91 일),△0.07
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,3,0,,,국고채 (3년)
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,3,1,‘16 말,국고채 (3년),1.64
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,3,2,‘17 말,국고채 (3년),2.14
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,3,3,‘18.12 말,국고채 (3년),1.82
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,3,4,1.11,국고채 (3년),1.80
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,3,5,1.14,국고채 (3년),1.80
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,3,6,1.15,국고채 (3년),1.80
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,3,7,전일비,국고채 (3년),0
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,3,8,‘18 말비,국고채 (3년),△0.02
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,4,0,,,국고채 (5년)
2019-01-15,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000026439&menuNo=6010200,2,금리,4,1,‘16 말,국고채 (5년),1.80
