data_date,source_url,table_idx,table_section,row,col,header_top,header_left,value
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,0,,0,0,,,일일경제지표 (23. 2. 20. 월) 17:30 현재
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,0,0,,,
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,0,1,,,’21 말
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,0,2,,,’22.12 말
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,0,3,,,’23.1 말
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,0,4,,,2/16
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,0,5,,,2/17
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,0,6,,,2/20
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,0,7,,,전일비
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,0,8,,,22말비
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,1,0,,,콜금리 (1일)
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,1,1,’21 말,콜금리 (1일),1.11
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,1,2,’22.12 말,콜금리 (1일),3.21
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,1,3,’23.1 말,콜금리 (1일),3.37
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,1,4,2/16,콜금리 (1일),3.42
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,1,5,2/17,콜금리 (1일),3.39
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,1,6,2/20,콜금리 (1일),3.43
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,1,7,전일비,콜금리 (1일),0.04
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,1,8,22말비,콜금리 (1일),0.22
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,2,0,,,CD (91 일)
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,2,1,’21 말,CD (91 일),1.29
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,2,2,’22.12 말,CD (91 일),3.98
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,2,3,’23.1 말,CD (91 일),3.63
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,2,4,2/16,CD (91 일),3.50
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,2,5,2/17,CD (91 일),3.52
2023-02-20,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000063036&menuNo=6010200,1,금리,2,6,2/20,CD (91 일),3.53
