data_date,source_url,table_idx,table_section,row,col,header_top,header_left,value
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,0,,0,0,,,일일경제지표 (25. 7. 28) 17:30 현재
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,1,금리,0,0,,,
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,1,금리,0,1,,,’ 23말
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,1,금리,0,2,,,’ 24말
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,1,금리,0,3,,,’ 25.6말
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,1,금리,0,4,,,7/24
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,1,금리,0,5,,,7/25
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,1,금리,0,6,,,7/28
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,1,금리,0,7,,,전일비
2025-07-28,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000074643&menuNo=6010200,1,금리,0,8,,,24말비
