data_date,source_url,table_idx,table_section,row,col,header_top,header_left,value
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,0,,0,0,,,일일경제지표 (19. 6. 24. 월) 17:30 현재
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,0,0,,,
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,0,1,,,‘17 말
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,0,2,,,‘18 말
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,0,3,,,‘19.5 말
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,0,4,,,6.20
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,0,5,,,6.21
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,0,6,,,6.24
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,0,7,,,전일비
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,0,8,,,18말비
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,1,0,,,콜금리 (1일)
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,1,1,‘17 말,콜금리 (1일),1.55
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,1,2,‘18 말,콜금리 (1일),1.82
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,1,3,‘19.5 말,콜금리 (1일),1.76
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,1,4,6.20,콜금리 (1일),1.76
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,1,5,6.21,콜금리 (1일),1.75
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,1,6,6.24,콜금리 (1일),1.74
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,1,7,전일비,콜금리 (1일),△0.01
2019-06-24,https://mofe.go.kr/st/ecnmyidx/detailTbEconomyIndicatorView.do?bbsId=MOSFBBS_000000000045&searchNttId1=MOSF_000000000028721&menuNo=6010200,1,금리,1,8,18말비,콜금리 (1일),△0.08
