일일경제지표('21.9.23)
"data_date,2021-09-23"

[표]
일일경제지표 (21. 9. 23. 목) 17:30 현재

[금리]
,‘19 말,‘20 말,‘21.8 말,9.16,9.17,9.23,전일비,20말비
콜금리 (1일),1.31,0.57,0.86,0.76,0.75,0.77,0.02,0.20
CD (91 일),1.53,0.66,0.92,1.01,1.01,1.02,0.01,0.36
국고채 (3년),1.36,0.98,1.40,1.51,1.54,1.56,0.02,0.58
"회사채 (3년, AA-)",1.94,2.21,1.83,1.96,1.98,2.00,0.02,△0.21
"외국인 채권 순매수 * (상장 , 억원)",100,"5,408","1,672","10,689","2,667","9,043","6,376",-

[주가]
,‘19 말,‘20 말,‘21.8 말,9.16,9.17,9.23,전일비,20말비
KOSPI,"2,197.67","2,873.47","3,199.27","3,130.09","3,140.51","3,127.58",△0.41%,8.84%
"- 거래대금 (억원, 일평균)","54,296","179,288","141,688","121,626","148,274","175,497",18.36%,-
KOSDAQ,669.83,968.42,"1,038.33","1,039.43","1,046.12","1,036.26",△0.94%,7.01%
"외국인순매수 (억원, 기간 중 * )","△2,816","1,840","11,265",△977,"1,343","6,076",352,-

[환율]
,‘19 말,‘20 말,‘21.8 말,9.16,9.17,9.23,전일비,20말비
￦/ U$,"1,156.40","1,086.30","1,159.50","1,171.80","1,175.00","1,175.50",0.04,8.21
"선물환( NDF,1 월물)","1,155.40","1,086.30","1,159.90","1,172.40","1,176.30","1,176.40",0.01,8.29
￦/ CNY,165.50,166.04,179.47,181.81,182.16,182.02,△0.08,9.62
￦/ Y100,"1,059.75","1,051.19","1,055.91","1,072.29","1,069.45","1,069.90",0.04,1.78
Y/U$,109.12,103.34,109.81,109.28,109.87,109.87,0,6.32
U$/EUR,1.1194,1.2279,1.1829,1.1804,1.1771,1.1713,△0.49,△4.61
CNY/U$,6.9848,6.5305,6.4606,6.4365,6.4500,6.4661,0.25,△0.99

[국제금리·주가·가산금리]
,‘19 말,‘20 말,’21.8 말,9.21,9.22,9.23,전일비,20말비
"LIBOR ($, 3 월, %)",1.94,0.25,0.12,0.12,0.12,0.13,0.01,△0.13
DOW,"28,645","30,410","35,400","33,970","33,920","34,258",1.00%,12.66%
NIKKEI,"23,657","27,444","28,090","29,840","29,639","29,639",0,8.00%
SHANGHAI COMP,"3,040","3,473","3,544","3,614","3,628","3,642",0.38%,4.87%
"외평채가산금리(30년만기, bp)",50,32,18,19,18,19,1.00,△13.00
"CDS (5 년, bp)",22,22,18,18,18,19,0.97,△3.51
"CRS (1 년, %)",0.83,0.24,0.56,0.66,0.66,0.63,△0.03,0.39

[유가·곡물·원자재]
,‘19 말,‘20 말,’21.8 말,9.20,9.21,9.22,전일비,20말비
Dubai ($/ 배럴),67.27,51.14,71.19,72.13,72.90,73.30,0.55%,43.33%
WTI 선물 ($/배럴),61.06,48.52,68.50,70.29,70.56,72.23,2.37%,48.87%
밀 (센트/부셀),559,641,722,701,690,706,2.32%,10.14%
옥수수 (센트/부셀),388,484,534,522,517,526,1.74%,8.68%
동 ($/톤),"6,156","7,742","9,463","9,146","9,106","9,255",1.64%,19.54%
알루미늄 ($/톤),"1,800","1,978","2,714","2,847","2,864","2,887",0.80%,45.96%

[반도체]
,‘19,‘20,’21.6 월,7월,8월,9.16,9.17,9.22,9월 (~22)
"D 램(8 G) 현물가($, 기간평균)",3.93,3.07,4.52,4.55,4.19,3.72,3.72,3.72,3.76
"(%, YoY)",△51.7,△21.9,54.2,70.2,62.4,25.5,25.4,25.4,29.7
"낸드(128 G) 현물가($, 기간평균)",5.34,5.71,6.51,6.74,6.86,6.96,6.97,6.98,6.94
"(%, YoY)",△15.9,7.0,20.2,23.7,23.1,23.6,23.8,23.9,23.0
