일일경제지표('20.12.29)
"data_date,2020-12-29"

[표]
일일경제지표 (20. 12. 29. 화) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.11 말,12.24,12.28,12.29,전일비,19말비
콜금리 (1일),1.82,1.31,0.52,0.56,0.55,0.55,0,△0.76
CD (91 일),1.93,1.53,0.66,0.66,0.66,0.66,0,△0.87
국고채 (3년),1.82,1.36,0.98,0.95,0.96,0.97,0.02,△0.39
"회사채 (3년, AA-)",2.29,1.94,2.24,2.20,2.20,2.20,0.01,0.27
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"3,586","3,555","3,312",△3,"△3,315",-

[주가]
,‘18 말,‘19 말,‘20.11 말,12.24,12.28,12.29,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,591.34","2,806.86","2,808.60","2,820.51",0.42%,28.34%
"- 거래대금 (억원, 일평균)","41,207","54,296","126,416","202,812","199,846","241,977",21.08%,-
KOSDAQ,675.65,669.83,886.11,928.68,927.00,957.41,3.28%,42.93%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△24,831","4,072","3,339","△2,371",△171,-

[환율]
,‘18 말,‘19 말,‘20.11 말,12.24,12.28,12.29,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,106.50","1,103.00","1,096.70","1,092.10",△0.42,△5.56
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,106.80","1,100.70","1,095.10","1,092.00",△0.28,△5.49
￦/ CNY,162.79,165.50,168.02,168.74,167.61,167.24,△0.22,1.05
￦/ Y100,"1,008.86","1,059.75","1,065.17","1,065.19","1,059.92","1,053.13",△0.64,△0.62
Y/U$,110.59,109.12,103.88,103.55,103.47,103.70,0.22,△4.97
U$/EUR,1.1455,1.1194,1.1973,1.2204,1.2223,1.2239,0.13,9.34
CNY/U$,6.8522,6.9848,6.5892,6.5284,6.5301,6.5306,0.01,△6.50

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.11 말,12.24,12.28,12.29,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.23,0.24,0.24,0.24,△0.00,△1.70
DOW,"23,062","28,645","29,910","30,130","30,200","30,404",0.68%,6.82%
NIKKEI,"20,015","23,657","26,434","26,668","26,854","27,568",2.66%,16.53%
SHANGHAI COMP,"2,494","3,040","3,392","3,363","3,397","3,379",△0.54%,11.27%
"외평채가산금리(23년물, bp)",63,37,20,14,14,14,0,△22.00
"CDS (5 년, bp)",40,22,22,23,23,23,0,0.39
"CRS (1 년, %)",1.21,0.83,0.27,0.11,0.13,0.24,0.12,△0.59

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.11 말,12.23,12.24,12.28,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,47.02,49.61,51.28,51.07,△0.41%,△24.08%
WTI 선물 ($/배럴),45.33,61.06,45.34,48.12,48.23,47.62,△1.26%,△22.01%
밀 (센트/부셀),512,559,585,630,627,614,△2.07%,9.84%
옥수수 (센트/부셀),376,388,426,447,451,457,1.33%,17.78%
동 ($/톤),"6,018","6,156","7,675","7,765","7,793","7,793",0,26.59%
알루미늄 ($/톤),"1,881","1,800","2,015","1,999","2,022","2,022",0,12.33%

[반도체]
,‘18,‘19,’20.9 월,10월,11월,12.24,12.25,12.28,12월 (~28)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.90,2.92,2.82,3.44,3.45,3.45,2.89
"(%, YoY)",8.3,△51.7,△11.2,△3.0,0.3,13.5,13.9,13.9,△0.9
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.64,5.65,5.64,5.62,5.60,5.60,5.61
"(%, YoY)",△2.6,△15.9,△0.9,△2.3,△4.4,△5.5,△5.8,△6.1,△5.4
