일일경제지표('20.12.10)
"data_date,2020-12-10"

[표]
일일경제지표 (20. 12. 10. 목) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.11 말,12.8,12.9,12.10,전일비,19말비
콜금리 (1일),1.82,1.31,0.52,0.46,0.45,0.48,0.03,△0.83
CD (91 일),1.93,1.53,0.66,0.66,0.66,0.66,0,△0.87
국고채 (3년),1.82,1.36,0.98,0.96,0.97,0.97,0.01,△0.39
"회사채 (3년, AA-)",2.29,1.94,2.24,2.22,2.21,2.21,△0.00,0.28
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"3,586","1,217","△2,191",378,"2,569",-

[주가]
,‘18 말,‘19 말,‘20.11 말,12.8,12.9,12.10,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,591.34","2,700.93","2,755.47","2,746.46",△0.33%,24.97%
"- 거래대금 (억원, 일평균)","41,207","54,296","126,416","179,330","171,571","170,076",△0.87%,-
KOSDAQ,675.65,669.83,886.11,906.84,913.81,921.70,0.86%,37.60%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△24,831","△9,709","2,224","△13,726",△717,-

[환율]
,‘18 말,‘19 말,‘20.11 말,12.8,12.9,12.10,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,106.50","1,085.40","1,084.80","1,087.70",0.27,△5.94
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,106.80","1,085.70","1,084.00","1,087.40",0.31,△5.89
￦/ CNY,162.79,165.50,168.02,166.05,166.07,166.01,△0.04,0.31
￦/ Y100,"1,008.86","1,059.75","1,065.17","1,043.35","1,041.77","1,041.36",△0.04,△1.74
Y/U$,110.59,109.12,103.88,104.03,104.13,104.45,0.31,△4.28
U$/EUR,1.1455,1.1194,1.1973,1.2120,1.2141,1.2092,△0.40,8.02
CNY/U$,6.8522,6.9848,6.5892,6.5358,6.5250,6.5434,0.28,△6.32

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.11 말,12.8,12.9,12.10,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.23,0.23,0.23,0.23,△0.00,△1.71
DOW,"23,062","28,645","29,910","30,070","30,174","30,069",△0.35%,5.64%
NIKKEI,"20,015","23,657","26,434","26,467","26,818","26,756",△0.23%,13.10%
SHANGHAI COMP,"2,494","3,040","3,392","3,410","3,372","3,373",0.04%,11.08%
"외평채가산금리(23년물, bp)",63,37,20,18,16,16,0,△20.00
"CDS (5 년, bp)",40,22,22,21,21,22,0.40,△0.50
"CRS (1 년, %)",1.21,0.83,0.27,0.26,0.25,0.25,0,△0.58

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.11 말,12.7,12.8,12.9,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,47.02,48.29,48.30,49.10,1.66%,△27.01%
WTI 선물 ($/배럴),45.33,61.06,45.34,45.76,45.60,45.50,△0.22%,△25.48%
밀 (센트/부셀),512,559,585,578,570,583,2.32%,4.34%
옥수수 (센트/부셀),376,388,426,424,420,424,0.89%,9.21%
동 ($/톤),"6,018","6,156","7,675","7,657","7,635","7,705",0.91%,25.15%
알루미늄 ($/톤),"1,881","1,800","2,015","2,004","1,986","2,010",1.21%,11.67%

[반도체]
,‘18,‘19,’20.9 월,10월,11월,12.7,12.8,12.9,12월 (~9)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.90,2.92,2.82,2.89,2.96,2.97,2.86
"(%, YoY)",8.3,△51.7,△11.2,△3.0,0.3,5.8,7.8,8.5,△1.8
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.64,5.65,5.64,5.61,5.61,5.61,5.61
"(%, YoY)",△2.6,△15.9,△0.9,△2.3,△4.4,△5.8,△5.2,△4.5,△5.4
