일일경제지표('19.9.4)
"data_date,2019-09-04"

[표]
일일경제지표 (19. 9. 4. 수) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.8 말,9.2,9.3,9.4,전일비,18말비
콜금리 (1일),1.55,1.82,1.51,1.54,1.50,1.50,0,△0.32
CD (91 일),1.66,1.93,1.49,1.49,1.49,1.50,0.01,△0.43
국고채 (3년),2.14,1.82,1.17,1.23,1.23,1.24,0.01,△0.58
"회사채 (3년, AA-)",2.68,2.29,1.69,1.74,1.73,1.74,0.01,△0.55
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","2,328","4,773","△1,181","8,895","10,076",-

[주가]
,‘17 말,‘18 말,‘19.8 말,9.2,9.3,9.4,전일비,18말비
KOSPI,"2,467.49","2,041.04","1,967.79","1,969.19","1,965.69","1,988.53",1.16%,△2.57%
"- 거래대금 (억원, 일평균)","42,744","41,207","37,095","43,714","29,242","39,160",33.92%,-
KOSDAQ,798.42,675.65,610.55,619.81,620.02,629.31,1.50%,△6.86%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","2,528",△848,"△3,571","△2,905",△19,-

[환율]
,‘17 말,‘18 말,‘19.8 말,9.2,9.3,9.4,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,211.20","1,210.80","1,215.60","1,208.20",△0.61,8.29
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,210.50","1,209.90","1,214.70","1,207.10",△0.63,8.27
￦/ CNY,163.90,162.79,169.65,168.84,169.37,168.81,△0.33,3.70
￦/ Y100,949.28,"1,008.86","1,138.99","1,140.44","1,143.77","1,137.45",△0.55,12.75
Y/U$,112.77,110.59,106.34,106.17,106.28,106.22,△0.06,△3.95
U$/EUR,1.1927,1.1455,1.1035,1.0988,1.0941,1.0977,0.33,△4.17
CNY/U$,6.5426,6.8522,7.1539,7.1596,7.1818,7.1621,△0.27,4.52

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.8 말,9.2,9.3,9.4,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.12,2.14,2.14,2.13,△0.46,0.52
DOW,"24,719","23,062","26,362","26,403","26,403","26,118",2.26%,14.49%
NIKKEI,"22,765","20,015","20,704","20,620","20,625","20,649",0.12%,3.17%
SHANGHAI COMP,"3,307","2,494","2,886","2,924","2,930","2,957",0.93%,18.59%
"외평채가산금리(23년물, bp)",76,63,34,35,34,35,17.00,△29.00
"CDS (5 년, bp)",56,40,33,33,33,32,1.22,△8.15
"CRS (1 년, %)",1.38,1.21,0.54,0.56,0.57,0.55,0.01,△0.66

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.8 말,8.30,9.2,9.3,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,59.62,59.62,57.62,56.48,△1.98%,6.85%
WTI 선물 ($/배럴),60.42,45.33,55.10,55.10,55.10,53.94,△2.11%,18.99%
밀 (센트/부셀),427,512,463,463,463,454,△1.94%,△11.33%
옥수수 (센트/부셀),351,376,370,370,370,361,△2.43%,△3.99%
동 ($/톤),"7,157","6,018","5,678","5,678","5,611","5,537",△1.32%,△7.99%
알루미늄 ($/톤),"2,242","1,881","1,713","1,713","1,717","1,715",△0.12%,△8.83%

[반도체]
,‘17,‘18,‘19.6 월,7월,8월,8.30,9.2,9.3,9월 (~3)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,3.38,3.39,3.53,3.39,3.38,3.37,3.38
"(%, YoY)",41.6,8.3,△60.4,△57.6,△54.1,△54.9,△55.1,△55.2,△54.2
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.04,5.20,5.42,5.61,5.61,5.61,5.61
"(%, YoY)",33.8,△2.6,△24.5,△21.3,△14.3,△5.3,△5.3,△5.3,△3.9
