일일경제지표('19.12.11)
"data_date,2019-12-11"

[표]
일일경제지표 (19. 12. 11. 수) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.11 말,12.9,12.10,12.11,전일비,18말비
콜금리 (1일),1.55,1.82,1.25,1.24,1.26,1.28,0.02,△0.54
CD (91 일),1.66,1.93,1.53,1.53,1.53,1.53,0,△0.40
국고채 (3년),2.14,1.82,1.39,1.41,1.39,1.38,△0.01,△0.44
"회사채 (3년, AA-)",2.68,2.29,1.92,1.96,1.95,1.94,△0.01,△0.35
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","1,434","7,227","7,685","△3,326","△11,011",-

[주가]
,‘17 말,‘18 말,‘19.11 말,12.9,12.10,12.11,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,087.96","2,088.65","2,098.00","2,105.62",0.36%,3.16%
"- 거래대금 (억원, 일평균)","42,744","41,207","44,832","83,152","39,825","41,729",4.78%,-
KOSDAQ,798.42,675.65,632.99,627.86,627.11,629.13,0.32%,△6.89%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730","△4,561",89,△442,140,△132,-

[환율]
,‘17 말,‘18 말,‘19.11 말,12.9,12.10,12.11,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,181.20","1,189.90","1,191.30","1,194.70",0.29,7.08
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,180.80","1,189.00","1,190.30","1,193.80",0.29,7.08
￦/ CNY,163.90,162.79,168.23,169.02,169.25,169.76,0.30,4.28
￦/ Y100,949.28,"1,008.86","1,078.82","1,096.08","1,096.86","1,098.78",0.18,8.91
Y/U$,112.77,110.59,109.49,108.56,108.61,108.73,0.11,△1.68
U$/EUR,1.1927,1.1455,1.1009,1.1060,1.1066,1.1089,0.21,△3.20
CNY/U$,6.5426,6.8522,7.0338,7.0362,7.0318,7.0390,0.10,2.73

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.11 말,12.9,12.10,12.11,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,1.91,1.89,1.89,1.89,△0.00,△0.89
DOW,"24,719","23,062","28,164","28,015","27,910","27,882",△0.10%,20.90%
NIKKEI,"22,765","20,015","23,294","23,431","23,410","23,392",△0.08%,16.87%
SHANGHAI COMP,"3,307","2,494","2,872","2,914","2,917","2,923",0.19%,17.20%
"외평채가산금리(23년물, bp)",76,63,36,36,36,36,0.00,△26.00
"CDS (5 년, bp)",56,40,28,26,26,26,0.22,△14.19
"CRS (1 년, %)",1.38,1.21,0.83,0.81,0.81,0.82,0.01,△0.40

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.11 말,12.6,12.9,12.10,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,63.83,63.02,63.74,63.84,0.16%,20.77%
WTI 선물 ($/배럴),60.42,45.33,55.17,59.20,59.02,59.24,0.37%,30.69%
밀 (센트/부셀),427,512,542,525,523,524,0.19%,2.34%
옥수수 (센트/부셀),351,376,381,377,376,377,0.27%,0.27%
동 ($/톤),"7,157","6,018","5,854","5,866","5,985","6,055",1.17%,0.61%
알루미늄 ($/톤),"2,242","1,881","1,786","1,751","1,766","1,750",△0.91%,△6.96%

[반도체]
,‘17,‘18,‘19.9 월,10월,11월,12.6,12.9,12.10,12월 (~10)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,3.26,3.0,2.81,2.74,2.74,2.76,2.74
"(%, YoY)",41.6,8.3,△55.8,△57.5,△58.6,△58.5,△58.1,△57.9,△57.6
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.69,5.78,5.89,5.92,5.88,5.88,5.93
"(%, YoY)",33.8,△2.6,△2.5,△0.8,2.7,3.9,3.2,3.2,7.2
