일일경제지표('20.9.15)
"data_date,2020-09-15"

[표]
일일경제지표 (20. 9. 15. 화) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.8 말,9.11,9.14,9.15,전일비,19말비
콜금리 (1일),1.82,1.31,0.49,0.47,0.49,0.47,△0.02,△0.84
CD (91 일),1.93,1.53,0.63,0.63,0.63,0.63,0,△0.90
국고채 (3년),1.82,1.36,0.94,0.93,0.92,0.91,△0.01,△0.45
"회사채 (3년, AA-)",2.29,1.94,2.26,2.25,2.25,2.24,△0.01,0.30
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"7,710","11,694","11,723","1,953","△9,770",-

[주가]
,‘18 말,‘19 말,‘20.8 말,9.11,9.14,9.15,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,326.17","2,396.69","2,427.91","2,443.58",0.65%,11.19%
"- 거래대금 (억원, 일평균)","41,207","54,296","155,399","157,829","120,688","120,217",△0.39%,-
KOSDAQ,675.65,669.83,848.24,888.44,894.17,899.46,0.59%,34.28%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△13,859","△3,590","1,254","2,217",77,-

[환율]
,‘18 말,‘19 말,‘20.8 말,9.11,9.14,9.15,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,187.80","1,186.90","1,183.50","1,179.00",△0.38,1.95
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,187.80","1,186.90","1,183.80","1,178.60",△0.44,2.01
￦/ CNY,162.79,165.50,173.20,173.62,173.28,173.79,0.29,5.01
￦/ Y100,"1,008.86","1,059.75","1,123.96","1,117.92","1,115.98","1,116.05",0.01,5.31
Y/U$,110.59,109.12,105.68,106.17,106.05,105.64,△0.39,△3.19
U$/EUR,1.1455,1.1194,1.1897,1.1834,1.1842,1.1891,0.41,6.23
CNY/U$,6.8522,6.9848,6.8595,6.8366,6.8306,6.7808,△0.73,△2.92

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.8 말,9.11,9.14,9.15,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.24,0.25,0.25,0.25,0,△1.69
DOW,"23,062","28,645","28,654","27,535","27,666","27,993",1.18%,△1.65%
NIKKEI,"20,015","23,657","23,140","23,406","23,559","23,455",△0.44%,△0.85%
SHANGHAI COMP,"2,494","3,040","3,396","3,260","3,279","3,296",0.51%,8.53%
"외평채가산금리(23년물, bp)",63,37,42,41,40,39,△1.00,3.00
"CDS (5 년, bp)",40,22,23,24,23,23,0.41,1.01
"CRS (1 년, %)",1.21,0.83,0.11,0.11,0.11,0.13,0.02,△0.70

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.8 말,9.10,9.11,9.14,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,45.93,39.74,39.27,38.89,△0.97%,△42.19%
WTI 선물 ($/배럴),45.33,61.06,42.61,37.30,37.33,37.26,△0.19%,△38.98%
밀 (센트/부셀),512,559,552,548,542,546,0.74%,△2.33%
옥수수 (센트/부셀),376,388,358,365,369,370,0.27%,△4.64%
동 ($/톤),"6,018","6,156","6,728","6,711","6,758","6,788",0.44%,10.27%
알루미늄 ($/톤),"1,881","1,800","1,762","1,744","1,747","1,749",0.11%,△2.83%

[반도체]
,‘18,‘19,‘20.6 월,7월,8월,9.10,9.11,9.14,9월 (~14)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.93,2.68,2.58,2.93,2.95,2.95,2.82
"(%, YoY)",8.3,△51.7,△13.0,△21.0,△27.0,△10.1,△9.3,△9.2,△13.4
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.41,5.45,5.57,5.66,5.64,5.64,5.64
"(%, YoY)",△2.6,△15.9,7.3,4.6,2.9,△1.9,△2.2,△2.2,△0.9
