일일 경제지표('24.4.5)
"data_date,2024-04-05"

[표]
일일경제지표 (24. 4. 5 금) 17:30 현재

[금리]
,’22 말,’23 말,’24.3 말,4/3,4/4,4/5,전일비,23말비
콜금리 (1일.%),3.21,3.55,3.50,3.47,3.44,3.49,0.05,△0.06
"CD (91 일, %)",3.98,3.83,3.64,3.62,3.62,3.58,△0.04,△0.25
"국고채 (3년, %)",3.72,3.15,3.32,3.34,3.34,3.33,△0.01,0.18
"회사채 (3년, AA-, %)",5.23,3.90,3.93,3.93,3.92,3.90,△0.02,0.00
"외국인 채권 순매수 * (상장 , 억원)","△2,319",△406,"8,544","5,170",△306,600,906,-

[주가]
,’22 말,’23 말,’24.3 말,4/3,4/4,4/5,전일비,23말비
KOSPI,"2,236.40","2,655.28","2,746.63","2,706.97","2,742.00","2,714.21",△1.01%,2.22%
- 거래대금 (억원),"60,365","103,597","111,901","132,570","119,781","112,938","△6,843",-
KOSDAQ,679.29,866.57,905.50,879.96,882.90,872.29,△1.20%,0.66%
"외국인순매수 (억원, 기간 중 * )","△2,792","6,937","7,097",△384,"6,901","△2,279","△9,180",-

[환율]
,’22 말,’23 말,’24.3 말,4/3,4/4,4/5,전일비,23말비
￦/ U$,"1,264.50","1,288.00","1,347.20","1,348.90","1,347.10","1,352.80",0.42,5.03
"선물환( NDF,1 월물)","1,265.30","1,286.80","1,345.10","1,346.60","1,347.00","1,350.85",0.29,4.98
￦/ CNY,181.44,181.37,185.75,186.13,186.20,185.88,△0.17,2.49
￦/ Y100,945.56,912.25,889.79,889.54,888.30,894.53,0.70,△1.94
Y/U$,133.73,141.19,151.41,151.64,151.65,151.23,△0.28,7.11
U$/EUR,1.0617,1.1105,1.0775,1.0770,1.0844,1.0827,△0.16,△2.50
CNY/U$,6.9630,7.1092,7.2243,7.2344,7.2353,7.2330,0,1.74

[국제금리·주가·가산금리]
,’22 말,’23 말,’24.3 말,4/3,4/4,4/5,전일비,23말비
"LIBOR ($, 3 월, %)",4.75,5.61,5.56,5.57,5.57,5.56,△0.00,△0.05
DOW,"33,221","37,657","39,807","39,170","39,127","38,597",△1.35%,2.50%
NIKKEI,"26,095","33,540","40,369","39,452","39,773","38,992",△1.96%,16.26%
SHANGHAI COMP,"3,089","2,955","3,041","3,069","주1) 3,069","주1) 3,069",0,3.88%
"외평채가산금리(30년만기, bp)",43,34,31,31,30,30,0,△4.00
"CDS (5 년, bp)",55,28,38,38,39,38,△1.27,10.18
"CRS SOFR (1 년, %)",3.16,2.83,3.02,3.04,3.02,2.99,△0.03,0.16

[유가·곡물·원자재]
,’22 말,’23 말,’24.3 말,4/2,4/3,4/4,전일비,23말비
Dubai ($/ 배럴),78.77,77.08,86.31,89.04,89.48,89.63,0.17%,16.28%
WTI 선물 ($/배럴),80.26,71.65,83.17,85.15,85.43,86.59,1.36%,20.85%
밀 (센트/부셀),792,628,560,545,556,556,0,△11.46%
옥수수 (센트/부셀),679,471,442,427,432,435,0.69%,△7.64%
동 ($/톤),"8,387","8,476","8,729","8,920","8,932","9,257",3.64%,9.21%
알루미늄 ($/톤),"2,361","2,336","2,270","2,323","2,334","2,395",2.61%,2.53%

[반도체]
,‘22 말,‘23 말,‘24.1 말,‘24.2 말,‘24.3 말,4/2,4/3,4/4,4월 (~4)
"D 램(8 G) 현물가($, 기간평균)",3.07,1.74,1.86,1.95,1.93,1.92,1.92,1.92,1.92
"(%, YoY)",△23.0,△14.8,△3.6,6.6,13.0,16.4,17.1,17.3,17.5
"낸드(128 G) 현물가($, 기간평균)",7.25,6.38,6.38,6.42,6.41,6.40,6.40,6.40,6.40
"(%, YoY)",10.7,△2.3,△1.9,△0.7,△0.2,0.1,0.2,0.2,0.1
