일일경제지표('19.10.18)
"data_date,2019-10-18"

[표]
일일경제지표 (19. 10. 18. 금) 17:30 현재

[금리]
,‘17 말,‘18 말,‘19.9 말,10.16,10.17,10.18,전일비,18말비
콜금리 (1일),1.55,1.82,1.54,1.52,1.28,1.25,△0.03,△0.57
CD (91 일),1.66,1.93,1.55,1.55,1.36,1.36,0,△0.57
국고채 (3년),2.14,1.82,1.30,1.28,1.38,1.38,0,△0.44
"회사채 (3년, AA-)",2.68,2.29,1.80,1.79,1.88,1.88,0.00,△0.41
"외국인 채권 순매수 * (상장 , 억원)",△66,"△1,422","2,797","1,548","△2,412","2,335","4,747",-

[주가]
,‘17 말,‘18 말,‘19.9 말,10.16,10.17,10.18,전일비,18말비
KOSPI,"2,467.49","2,041.04","2,063.05","2,082.83","2,077.94","2,060.69",△0.83%,0.96%
"- 거래대금 (억원, 일평균)","42,744","41,207","34,892","41,389","44,636","34,840",△21.95%,-
KOSDAQ,798.42,675.65,621.76,651.96,649.29,646.69,△0.40%,△4.29%
"외국인순매수 (억원, 기간 중 * )","1,409","2,730",△534,671,"△1,428","△1,299",△9,-

[환율]
,‘17 말,‘18 말,‘19.9 말,10.16,10.17,10.18,전일비,18말비
￦/ U$,"1,070.50","1,115.70","1,196.20","1,187.80","1,187.00","1,181.50",△0.46,5.90
"선물환( NDF,1 월물)","1,070.00","1,114.90","1,195.50","1,186.90","1,186.20","1,180.50",△0.48,5.88
￦/ CNY,163.90,162.79,167.55,167.45,167.50,166.82,△0.41,2.48
￦/ Y100,949.28,"1,008.86","1,109.54","1,092.63","1,091.49","1,088.24",△0.30,7.87
Y/U$,112.77,110.59,107.81,108.71,108.75,108.57,△0.17,△1.83
U$/EUR,1.1927,1.1455,1.0935,1.1049,1.1069,1.1117,0.43,△2.95
CNY/U$,6.5426,6.8522,7.1255,7.0934,7.0996,7.0841,△0.22,3.38

[국제금리·주가·가산금리]
,‘17 말,‘18 말,‘19.9 말,10.16,10.17,10.18,전일비,18말비
"LIBOR ($, 3 월, %)",1.69,2.81,2.10,2.00,2.00,2.00,0.00,△0.81
DOW,"24,719","23,062","26,820","27,025","27,002","27,026",0.09%,17.19%
NIKKEI,"22,765","20,015","21,756","22,473","22,452","22,493",0.18%,12.38%
SHANGHAI COMP,"3,307","2,494","2,905","2,979","2,977","2,938",△1.32%,17.81%
"외평채가산금리(23년물, bp)",76,63,38,36,37,37,0.00,△27.00
"CDS (5 년, bp)",56,40,34,32,33,32,0.71,△8.39
"CRS (1 년, %)",1.38,1.21,0.66,0.68,0.71,0.71,0.00,△0.50

[유가·곡물·원자재]
,‘17 말,‘18 말,‘19.9 말,10.15,10.16,10.17,전일비,18말비
Dubai ($/ 배럴),64.33,52.86,60.94,59.42,58.80,59.23,0.73%,12.05%
WTI 선물 ($/배럴),60.42,45.33,54.07,52.81,53.36,53.93,1.07%,18.97%
밀 (센트/부셀),427,512,496,507,513,526,2.53%,2.73%
옥수수 (센트/부셀),351,376,388,393,392,395,0.77%,5.05%
동 ($/톤),"7,157","6,018","5,728","5,745","5,684","5,727",0.76%,△4.84%
알루미늄 ($/톤),"2,242","1,881","1,704","1,702","1,704","1,726",1.29%,△8.24%

[반도체]
,‘17,‘18,‘19.7 월,8월,9월,10.15,10.16,10.17,10월 (~17)
"D 램(8 G) 현물가($, 기간평균)",7.51,8.14,3.39,3.53,3.26,3.05,3.02,3.00,3.07
"(%, YoY)",41.6,8.3,△57.6,△54.1,△55.8,△57.4,△57.9,△57.7,△56.6
"낸드(128 G) 현물가($, 기간평균)",6.52,6.35,5.20,5.42,5.69,5.79,5.79,5.79,5.77
"(%, YoY)",33.8,△2.6,△21.3,△14.3,△2.5,△0.8,△0.8,△1.3,△1.0
