일일 경제지표('24.10.15)
"data_date,2024-10-15"

[표]
일일경제지표 (24. 10. 15 화) 17:30 현재

[금리]
,’ 22말,’ 23말,’ 24.9말,10/11,10/14,10/15,전일비,23말비
콜금리 (1일.%),3.21,3.55,3.53,3.51,3.31,3.30,△0.01,△0.25
"CD (91 일, %)",3.98,3.83,3.53,3.40,3.40,3.40,0,△0.43
"국고채 (3년, %)",3.72,3.15,2.81,2.95,2.94,2.91,△0.03,△0.25
"회사채 (3년, AA-, %)",5.23,3.90,3.40,3.52,3.51,3.48,△0.03,△0.42
"외국인 채권 순매수 * (상장, 억원)","△2,319",△406,"22,132","1,033","11,706",△243,"△11,949",-

[주가]
,’ 22말,’ 23말,’ 24.9말,10/11,10/14,10/15,전일비,23말비
KOSPI,"2,236.40","2,655.28","2,593.27","2,596.91","2,623.29","2,633.45",0.39%,△0.82%
- 거래대금 (억원),"60,365","103,597","108,068","95,484","85,254","100,543","15,289",-
KOSDAQ,679.29,866.57,763.88,770.98,770.26,773.81,0.46%,△10.70%
"외국인순매수 (억원, 기간 중 * )","△2,792","6,937","△10,502","△5,507",269,"2,315","2,046",-

[환율]
,’ 22말,’ 23말,’ 24.9말,10/11,10/14,10/15,전일비,23말비
￦/ U$,"1,264.50","1,288.00","1,307.80","1,349.50","1,355.90","1,361.30",0.40,5.69
"선물환( NDF,1 월물)","1,265.30","1,286.80","1,305.30","1,347.20","1,353.60","1,359.10",0.41,5.62
￦/ CNY,181.44,181.37,186.94,190.75,191.78,191.25,△0.28,5.45
￦/ Y100,945.56,912.25,922.35,906.80,908.66,911.00,0.26,△0.14
Y/U$,133.73,141.19,141.79,148.82,149.22,149.43,0.14,5.84
U$/EUR,1.0617,1.1105,1.1162,1.0937,1.0929,1.0889,△0.37,△1.95
CNY/U$,6.9630,7.1092,7.0141,7.0755,7.0771,7.1170,0.56,0.11

[국제금리·주가·가산금리]
,’ 22말,’ 23말,’ 24.9말,10/11,10/14,10/15,전일비,23말비
"SOFR ($, 3 월, %)",4.75,5.61,4.85,4.66,4.65,4.65,0,△0.96
DOW,"33,221","37,657","42,313","42,454","42,864","43,065",0.47%,14.36%
NIKKEI,"26,095","33,540","37,920","39,606",휴 장,"39,911",0.77%,19.00%
SHANGHAI COMP,"3,089","2,955","3,337","3,218","3,284","3,201",△2.53%,8.35%
"외평채가산금리(30년만기, bp)",43,34,25,26,25,26,1.00,△8.00
"CDS (5 년, bp)",55,28,32,32,32,33,0.70,5.20
"CRS SOFR (1 년, %)",2.81,2.83,2.30,2.41,2.39,2.40,0.01,△0.43

[유가·곡물·원자재]
,’ 22말,’ 23말,’ 24.9말,10/10,10/11,10/14,전일비,23말비
Dubai ($/ 배럴),78.77,77.08,73.74,77.15,78.60,77.63,△1.23%,0.71%
WTI 선물 ($/배럴),80.26,71.65,68.17,75.85,75.56,73.83,△2.29%,3.04%
밀 (센트/부셀),792,628,584,604,599,585,△2.34%,△6.85%
옥수수 (센트/부셀),679,471,425,419,416,408,△1.92%,△13.38%
동 ($/톤),"8,387","8,476","9,767","9,507","9,597","9,516",△0.84%,12.27%
알루미늄 ($/톤),"2,361","2,336","2,611","2,551","2,645","2,566",△2.99%,9.85%

[반도체]
,’ 22말,’ 23말,’ 24.7말,’ 24.8말,’ 24.9말,10/10,10/11,10/14,10월( ∼14)
"D 램(8 G) 현물가($, 기간평균)",3.07,1.74,1.97,1.98,1.96,1.93,1.93,1.92,1.93
"(%, YoY)",△23.0,△14.8,32.5,35.8,33.0,25.8,25.3,23.8,24.5
"낸드(128 G) 현물가($, 기간평균)",7.25,6.38,6.32,6.32,6.71,6.77,6.77,6.75,6.76
"(%, YoY)",10.7,△2.3,0.2,0.0,6.1,5.7,5.7,5.4,5.6
