일일경제지표('20.12.21)
"data_date,2020-12-21"

[표]
일일경제지표 (20. 12. 21. 월) 17:30 현재

[금리]
,‘18 말,‘19 말,‘20.11 말,12.17,12.18,12.21,전일비,19말비
콜금리 (1일),1.82,1.31,0.52,0.49,0.48,0.48,0,△0.83
CD (91 일),1.93,1.53,0.66,0.66,0.66,0.66,0,△0.87
국고채 (3년),1.82,1.36,0.98,1.00,0.96,0.96,△0.00,△0.40
"회사채 (3년, AA-)",2.29,1.94,2.24,2.23,2.21,2.20,△0.01,0.26
"외국인 채권 순매수 * (상장 , 억원)","△1,422",100,"3,586","2,280","7,458","9,620","2,162",-

[주가]
,‘18 말,‘19 말,‘20.11 말,12.17,12.18,12.21,전일비,19말비
KOSPI,"2,041.04","2,197.67","2,591.34","2,770.43","2,772.18","2,778.65",0.23%,26.44%
"- 거래대금 (억원, 일평균)","41,207","54,296","126,416","136,496","162,753","191,662",17.76%,-
KOSDAQ,675.65,669.83,886.11,944.04,947.24,953.58,0.67%,42.36%
"외국인순매수 (억원, 기간 중 * )","2,730","△2,816","△24,831","△2,440","△1,498",727,△149,-

[환율]
,‘18 말,‘19 말,‘20.11 말,12.17,12.18,12.21,전일비,19말비
￦/ U$,"1,115.70","1,156.40","1,106.50","1,093.30","1,099.70","1,102.70",0.27,△4.64
"선물환( NDF,1 월물)","1,114.90","1,155.40","1,106.80","1,092.30","1,098.50","1,101.90",0.31,△4.63
￦/ CNY,162.79,165.50,168.02,167.42,168.08,168.37,0.17,1.73
￦/ Y100,"1,008.86","1,059.75","1,065.17","1,058.58","1,064.05","1,066.23",0.20,0.61
Y/U$,110.59,109.12,103.88,103.28,103.35,103.42,0.07,△5.22
U$/EUR,1.1455,1.1194,1.1973,1.2231,1.2248,1.2185,△0.51,8.85
CNY/U$,6.8522,6.9848,6.5892,6.5339,6.5440,6.5510,0.11,△6.21

[국제금리·주가·가산금리]
,‘18 말,‘19 말,‘20.11 말,12.17,12.18,12.21,전일비,19말비
"LIBOR ($, 3 월, %)",2.81,1.94,0.23,0.23,0.24,0.24,△0.00,△1.71
DOW,"23,062","28,645","29,910","30,155","30,303","30,179",△0.41%,6.03%
NIKKEI,"20,015","23,657","26,434","26,807","26,763","26,714",△0.18%,12.92%
SHANGHAI COMP,"2,494","3,040","3,392","3,405","3,395","3,421",0.76%,12.64%
"외평채가산금리(23년물, bp)",63,37,20,14,14,15,1.00,△21.00
"CDS (5 년, bp)",40,22,22,22,22,22,0.26,△0.02
"CRS (1 년, %)",1.21,0.83,0.27,0.14,0.10,0.13,0.03,△0.70

[유가·곡물·원자재]
,‘18 말,‘19 말,‘20.11 말,12.16,12.17,12.18,전일비,19말비
Dubai ($/ 배럴),52.86,67.27,47.02,50.85,51.46,51.11,△0.68%,△24.02%
WTI 선물 ($/배럴),45.33,61.06,45.34,47.82,48.36,49.10,1.53%,△19.59%
밀 (센트/부셀),512,559,585,599,609,608,△0.16%,8.77%
옥수수 (센트/부셀),376,388,426,427,433,438,1.15%,12.89%
동 ($/톤),"6,018","6,156","7,675","7,823","7,893","7,964",0.90%,29.37%
알루미늄 ($/톤),"1,881","1,800","2,015","2,029","2,028","2,049",1.04%,13.83%

[반도체]
,‘18,‘19,’20.9 월,10월,11월,12.16,12.17,12.18,12월 (~18)
"D 램(8 G) 현물가($, 기간평균)",8.14,3.93,2.90,2.92,2.82,3.22,3.32,3.39,2.89
"(%, YoY)",8.3,△51.7,△11.2,△3.0,0.3,6.6,10.0,12.0,△0.9
"낸드(128 G) 현물가($, 기간평균)",6.35,5.34,5.64,5.65,5.64,5.61,5.61,5.61,5.61
"(%, YoY)",△2.6,△15.9,△0.9,△2.3,△4.4,△5.4,△5.7,△5.3,△5.4
